host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
261114844,11/05/2019,"Collaroy Plateau, Australia","Hi I'm Hilary 
I live with my husband James, and grown-up daughter, on a quiet street in Collaroy Plateau.  We live in a large well-furnished home, with lots of art, 10 minutes walk from the beach and beautiful lake. Our house is close to local shops (5 mins) and Cafes and convenient for regular public transport into Sydney, and to the Northern Beaches. We are also just a 5-minute walk from the RSL ANZAC village.  We look forward to meeting you.",N/A,,82,TRUE,,1,['phone'],TRUE,TRUE
500730365,12/02/2023,"Homebush, Australia",,N/A,,88,FALSE,,1,"['email', 'phone']",TRUE,TRUE
12978693,10/03/2014,"Rose Bay, Australia",Hey my name is David... hosting a bedroom in a wonderful 2bed penthouse in rose bay,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
13517002,25/03/2014,"Killarney Heights, Australia",,N/A,,,FALSE,,3,"['email', 'phone', 'work_email']",TRUE,TRUE
24428683,03/12/2014,"Erskine Park, Australia","We are an Indian family. You mostly find all the required items to cook. This is the new house giving the first time to air BnB. This house has 4 beds, and 2 baths including the hot water pool.",N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
60576404,27/02/2016,"Vaucluse, Australia",,N/A,,,FALSE,Vaucluse/Watsons Bay,1,"['email', 'phone']",TRUE,TRUE
110485835,08/01/2017,"Gymea, Australia",Happy husband and father of two beautiful boys.,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
141577938,20/07/2017,"Rose Bay, Australia",,N/A,,,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,FALSE
146702567,19/08/2017,"Burwood, Australia",nice ,N/A,,,FALSE,Burwood,1,"['email', 'phone']",TRUE,TRUE
155587212,21/10/2017,"Jordan Springs, Australia",,N/A,,,FALSE,,5,"['email', 'phone']",TRUE,TRUE
303368393,20/10/2019,"Pagewood, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
337682704,20/02/2020,"Mascot, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
176905051,06/03/2018,"Punchbowl, Australia","I'm a mature female, educated and self -employed and professional, Chinese background. I'm living in the property and have second bedroom prepared for rent to long or short stay people. 

I like to travel myself  for business reason or for sight seeing reason which is always an exciting experience... . 

hope your travel or stay will be smooth and comfortable.. ",N/A,,100,FALSE,Bankstown,1,"['email', 'phone']",TRUE,TRUE
203586788,19/07/2018,"Newport, Australia","I moved to Newport 10 years ago from the country I absolutely love beach life and the Newport community.

I am a mother of three children and grandmother of 6 soon to be 7.

I work as a newborn night specialist in peoples homes which brings me great joy and satisfaction. I love to exercise and the outdoors, travel and entertain. 

I adore my home and I’m excited to share it. I respect the importance of privacy and hope you relax the minute you walk through the door. ENJOY",N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
2733553,25/06/2012,"Ultimo, Australia",,N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
88104207,05/08/2016,"Little Bay, Australia",,N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
153707420,08/10/2017,"Wingham, Australia","I am a 34 y.o. primary school teacher from regional N.S.W. now living and working in Eastern Suburbs of Sydney.  My interests include music, surfing, cycling and travelling.",N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
13797446,02/04/2014,"Paddington, Australia","I live in Paddington (two blocks from where I grew up!) and welcome guests to my apartment, a 5-minute walk away from my home. 

I am close by, should you need anything - and very happy to make local recommendations - but the apartment is all yours when you stay there.",N/A,,40,,Paddington,2,"['email', 'phone', 'work_email']",TRUE,TRUE
9493271,17/10/2013,"Narraweena, Australia","We are Sydney-siders, love hanging out at our local cafe and making the most of the stunning coast we live on. Both into travel and swapping travel stories, swimming, hiking and any other adventure-related activities. Also pretty adept at relaxing in front of a movie, the odd yoga class, and and long lunches with friends. Both psychologists - I (Karen) work in public health in an inner city hospital whereas Jay is running a tech start-up taking psychological tools into the corporate workplace. 

We're busy but easy going, love meeting new people and learning new things. Guests are very welcome to join us for meals if our paths happen to cross but also happy for guests to do their own thing. 

We're not really 'life motto' people, but we're big Mary Oliver fans. Reckon she captures it all pretty well with this question:
""Tell me, what is it you plan to do with your one wild and precious life?"" ",N/A,,50,FALSE,,1,"['email', 'phone']",TRUE,TRUE
76202968,06/06/2016,"Queenscliff, Australia","Hello, I live a happy, healthy, travelers' lifestyle, early to bed early to rise most of the time. I like to explore new places meet new people and I do my best to exist peacefully.",N/A,,70,FALSE,,1,"['email', 'phone']",TRUE,TRUE
10221379,24/11/2013,"Sawtell, Australia",,N/A,,92,FALSE,,1,['phone'],TRUE,TRUE
8945736,19/09/2013,"Marrickville, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
21891107,28/09/2014,"Balmain, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
31163147,13/04/2015,"Capão da Canoa, Brazil",,N/A,,,FALSE,North Sydney,1,"['email', 'phone', 'work_email']",TRUE,TRUE
32300072,30/04/2015,"Bellevue Hill, Australia",Hi there!  My name is Samantha and I live near the best beach in the world!  Bondi Beach!  I work hard and play hard and adore my new home.  I hope you do too.  I am always available to answer any queries so please fire away!  Welcome! ,N/A,,,FALSE,Bellevue Hill,1,"['email', 'phone']",TRUE,TRUE
51444515,15/12/2015,"North Sydney, Australia",We are available 24/7 to help you with anything.,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
75562167,03/06/2016,"Carlingford, Australia",,N/A,,,FALSE,,1,['phone'],TRUE,TRUE
100947231,23/10/2016,"Campbelltown, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
181384625,30/03/2018,"Warnervale, Australia",We r fun and outgoing.. my gf is Columbian and I'm Aussie.. kitten is 10weeks..,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
184700446,16/04/2018,United Kingdom,,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
234613676,05/01/2019,"Bondi Junction, Australia",,N/A,,,FALSE,Breakfast Point/Cabarita,1,"['email', 'phone']",TRUE,TRUE
30195182,29/03/2015,"Caringbah, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
33285721,13/05/2015,"Greenwich, Australia","I am 30 year old Nurse , that loves her job . Loves a chat and drinking TEA x",N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
52111220,23/12/2015,"Ryde, Australia",,N/A,,40,FALSE,,1,"['email', 'phone']",TRUE,TRUE
4214125,22/11/2012,"St Clair, Australia",Married with 3 adult chn.  We enjoy meeting new people and whilst our home is a shared space we hope to provide a welcoming environment for all who visit with us.  Our guests will have their own room.   Breakfast provided and access to kitchen.  ,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
23060769,28/10/2014,"Banksia, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
23632139,11/11/2014,"Clareville, Australia",,N/A,,,FALSE,Avalon,2,"['email', 'phone']",TRUE,TRUE
24858991,15/12/2014,"North Bondi, Australia","Home is where my heart is and nothing makes me happier than spending time with my little tribe. We're lucky to have lived around the world but are happy to back in sunny Sydney for now. People, places and good design inspire me.  Fresh food and strong coffee keep me going.",N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
48834532,12/11/2015,"Lennox Head, Australia","I surf , I am super social and I get on with everyone! Love dogs and animals! 

Live on the beach",N/A,,,FALSE,,2,"['email', 'phone', 'work_email']",TRUE,TRUE
100075154,17/10/2016,"Woolooware, Australia",Female,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
101790146,30/10/2016,"Brisbane, Australia","Hi 

I’m Tina. I love to travel, cook, explore new places for food and wine and relax and unwind in nature ☺️",N/A,,,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
148039280,28/08/2017,"Rosebery, Australia","Rosebery is a lovely suburb where located in east-south of Sydney. It's very close CBD about 6-7 km,  Coogee beach  and Centennial Park.

This is two bedrooms apartment, I live in main bedroom and the other bedroom with it's own bathroom for the guests  1-2 persons only.

The nice apartment building provides very impressive facilities such as 4 Gyms with 3 swimming pools, Yugo/dancing room, small convenience shop, hair cut and two  restaurants within the complex.

There are many restaurants coffee shops and Woolworth + Cose supermarkets near by.

The transport is very handy 343, 301... more buses and Green Square train station  
is about 10 minutes walk away from home. 
 
Welcome guests visit Sydney and stay at my home.",N/A,,,FALSE,Rosebery,1,"['email', 'phone']",TRUE,TRUE
153850292,09/10/2017,"Mascot, Australia",,N/A,,,FALSE,Mascot,1,"['email', 'phone', 'work_email']",TRUE,TRUE
291778014,04/09/2019,"Campsie, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
302048284,13/10/2019,"Glebe, Australia",,N/A,,,FALSE,,9,"['email', 'phone']",TRUE,TRUE
317897126,15/12/2019,"Urrao, Colombia",,N/A,,,FALSE,Surry Hills,2,['phone'],TRUE,TRUE
372081522,15/10/2020,"Bilgola Plateau, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
306036802,01/11/2019,"Castle Hill, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",FALSE,TRUE
15060472,03/05/2014,"Balgowlah, Australia","Hi there, we're a family of four with 2 kids (one boy and one girl) living in Sydney on the Northern Beaches near Manly. 

Keen travelers, we've been to a number of countries enjoying the different cultures, customs and most and foremost food! 

We spent a year traveling in Africa  (pre-kids) and managed to go through 39 countries over that period. Those days are behind us as we look forward to more comfortable traveling but still excited to hear about other people's adventures.

We look forward to welcoming you in our house when we leave on our latest trip.",N/A,,0,FALSE,Balgowlah,1,"['email', 'phone']",TRUE,TRUE
4900644,29/01/2013,"Paddington, Australia",,N/A,,25,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
376909128,24/11/2020,"Artarmon, Australia",,N/A,,33,FALSE,,1,"['email', 'phone']",TRUE,TRUE
231537656,19/12/2018,"Casuarina, Australia",,N/A,,67,TRUE,,2,"['email', 'phone']",TRUE,TRUE
56431492,28/01/2016,"Cundumbul, Australia",,N/A,,75,FALSE,,1,"['email', 'phone']",TRUE,TRUE
193585992,05/06/2018,"Earlwood, Australia","Friendly outgoing respectful person, have had long and short time students for the past 20 years, and now have decided to join AnB. ",N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
498662457,30/01/2023,"Waitara, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
11111128,08/01/2014,"Curl Curl, Australia","I love travelling and meeting new people. I'm a plant biologist, runner and enjoying living by the ocean side. Living along the Spit to Manly walk is a real blessing. Walking to local coffee shops is also lovely. I've recently been to South Africa, Germany, Belgium, and New York, Wyoming, Montana, Colorado, Utah and New Mexico. I'm excited to hear where other people have been and listen to their stories. ",N/A,,100,FALSE,Balgowlah,2,"['email', 'phone', 'work_email']",TRUE,FALSE
12594920,26/02/2014,"Saint Kilda East, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
22283266,08/10/2014,"Wolli Creek, Australia","I love dancing and pickleball for fitness and socialising.  Travel is my next passion and enjoy staying in air bnb as much as being an airbnb host. I prefer to travel without an agenda and love cruising. So far my favourite places I have visited are Lapland, Edinburgh,  Prague and Cyprus.
I have met so many wonderful people in my travels and believe ""Your vibe attracts your tribe.""
Hope to meet you in my travels or in my home.",N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
10918670,30/12/2013,"Curl Curl, Australia","I am a primary school teacher, with my 18 year old son.  We both are busy with work during the day. But love to relax at home on weekends. We’re easy going and love when guests like our space as much as we do. We’re happy to share our lovely corner of the world.",N/A,,71,TRUE,,2,"['email', 'phone']",TRUE,TRUE
396020039,08/04/2021,"Glenorie, Australia",,N/A,,92,TRUE,,2,['phone'],TRUE,TRUE
20293224,20/08/2014,"Palm Beach, Australia","Francoise grew up in a hotel- restaurant in Brittanny, France west coast where she learnt first hand about ""French hospitality""
She is a keen decorator, collects and sells vintage French linen which she acquired while living between Brittany and Provence from early 2011 to end 2013
Madge is her "" hearing dog"" and together they make quite an eccentric couple !!..
Francoise is true to her roots by being very "" conviviale"" while sharing her beautiful homemade food  and bottle of French rose if you are lucky enough to be invited at her table !!..
She could not live away from the sea, as she is convinced sea water runs thru her veins ...
Francoise ran another B&B near Byron Bay for 3 years and loves being a hostess , she shared her time there between gardening and swimming",N/A,,94,TRUE,Palm Beach,1,"['email', 'phone']",TRUE,TRUE
23839989,17/11/2014,"Darlinghurst, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
36044673,17/06/2015,"Larrakeyah, Australia",I’m a young professional living with my partner in Darwin. Seth and I love showing our guests around town and out bush. Enquire within.. ,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
216973022,24/09/2018,"Mellong, Australia",,N/A,,,FALSE,,1,['phone'],TRUE,FALSE
232284519,24/12/2018,"Mount Annan, Australia","Work in Horticulture, gym, camper trailing. Enjoy the beach, travelling in Australia or Overseas.",N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
346512981,17/05/2020,"Monterey, Australia",I am easy going fun and friendly but also like abit of privacy. ,N/A,,,FALSE,,1,['phone'],TRUE,TRUE
167501027,13/01/2018,"Camperdown, Australia",,N/A,,100,TRUE,,1,"['email', 'phone']",TRUE,TRUE
369925291,30/09/2020,"Rose Bay, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,FALSE
25240244,26/12/2014,"Dover Heights, Australia",,N/A,,13,FALSE,,1,"['email', 'phone']",TRUE,FALSE
35906329,15/06/2015,"Queens Park, Australia",,N/A,,50,FALSE,,1,"['email', 'phone']",TRUE,FALSE
397136129,15/04/2021,"Palm Beach, Australia",,N/A,,67,FALSE,,1,['phone'],TRUE,TRUE
42939314,30/08/2015,"Auckland, New Zealand",,N/A,,75,FALSE,,1,"['email', 'phone']",TRUE,TRUE
27185115,03/02/2015,"Mona Vale, Australia","I am a young professional who loves travelling, socialising, cooking, hiking and soaking up the sun!!",N/A,,93,FALSE,,1,"['email', 'phone']",TRUE,TRUE
4276604,29/11/2012,"Tamarama, Australia","I am a local surfer and have lived in the area for over 20years. I run a advertising agency and I love travel and meeting new people from around the world.

I believe Tamarama is one of the best places to live in Sydney. You are spoilt for choice. From restaurants, places to swim like the ocean pools, rock pools, beaches. Coastal walks its all on your doorstep. I look forward to meeting you and having you stay at our beach side home.",N/A,,,FALSE,Tamarama,1,"['email', 'phone', 'work_email']",TRUE,TRUE
18226665,16/07/2014,"Fairlight, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
28782043,04/03/2015,"Chatswood, Australia","* Bush walking
*Watch movies
*Coffee making and testing..
",N/A,,,FALSE,Chatswood,1,"['email', 'phone']",TRUE,FALSE
49102742,15/11/2015,"Saint Ives, Australia",,N/A,,,FALSE,,1,['phone'],TRUE,FALSE
91223365,22/08/2016,"Wattle Grove, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
170270115,27/01/2018,"New York, NY",,N/A,,,FALSE,Eastlakes,1,"['email', 'phone']",TRUE,TRUE
254007808,08/04/2019,"Kingsgrove, Australia",,N/A,,,FALSE,Kingsgrove,1,"['email', 'phone']",TRUE,TRUE
2486565,28/05/2012,"North Bondi, Australia",Love to travel with great company. Enjoy good food and being out and about.,N/A,,100,FALSE,North Bondi,1,"['email', 'phone']",TRUE,TRUE
161234377,04/12/2017,"Canterbury, Australia",Honest and reliable.,N/A,,100,FALSE,,2,"['email', 'phone']",TRUE,TRUE
32803646,07/05/2015,"Northwood, Australia",,N/A,,0,FALSE,Lane Cove,6,"['email', 'phone']",TRUE,TRUE
46592739,14/10/2015,"Haymarket, Australia","Education Counsellor, lives in Sydney",N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
12515546,23/02/2014,"Cronulla, Australia","Father of 2 young girls and keen cyclist.
I am a professor at the most prestigious University in the Australia.

",N/A,,20,FALSE,,1,"['email', 'phone']",TRUE,TRUE
20039367,14/08/2014,"Bondi, Australia","I am a friendly professional and I love to meet new people 
I work in the health industry love to travel with an appreciation of art music & culture . Have expansive knowledge of Sydney & surrounds & am happy to assist with any questions regarding the accomodation or your trip 
",N/A,,60,FALSE,,1,"['email', 'phone']",TRUE,TRUE
218668118,03/10/2018,"Balmain, Australia",,N/A,,60,FALSE,,2,['phone'],TRUE,TRUE
524808391,10/07/2023,"Vaucluse, Australia","Hi and welcome to our beautiful home by the sea. 

I've lived in Sydney my entire life and am lucky to be surrounded by my family and life long friends.

We love our beach lifestyle and travelling the world so we know how exciting it feels each and every time there's a new destination ahead of us to explore.",N/A,,82,TRUE,,1,"['email', 'phone']",TRUE,TRUE
323825612,03/01/2020,"Schofields, Australia","I am a qualified remedial therapist. I work from home and live on acreage on the outskirts of Sydney. 
I live with my partner Phil who is a carpenter and my personal maintenance man. 
We are both worldly travellers, who enjoy entertaining and living life . 
We are excited to welcome guests to share the experience of our  tranquil environment. 
",N/A,,93,TRUE,,1,"['email', 'phone']",TRUE,TRUE
42069682,20/08/2015,"Rhodes, Australia",,N/A,,,FALSE,Rhodes,1,['phone'],TRUE,TRUE
50713152,07/12/2015,"North Parramatta, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",FALSE,TRUE
72981186,20/05/2016,"Campbelltown, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
124146627,03/04/2017,"Erskineville, Australia",,N/A,,,FALSE,Erskineville,1,"['email', 'phone']",TRUE,FALSE
131580703,23/05/2017,"Rosebery, Australia","My name is Bella I’m living with my partner 
We had 6 bedrooms big house 
We are rent one of our bigger double room downstairs We living upstairs.


",N/A,,,FALSE,Paddington,6,"['email', 'phone']",TRUE,TRUE
192978912,02/06/2018,"West Hoxton, Australia",,N/A,,,FALSE,,1,['phone'],TRUE,FALSE
2351917,12/05/2012,"Erskineville, Australia","Hi everyone, I am looking forward to welcome you to Erskineville in the near future! ",N/A,,100,TRUE,Erskineville,3,"['email', 'phone', 'work_email']",TRUE,TRUE
212785461,31/08/2018,"Mona Vale, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
31337479,16/04/2015,"Santiago Metropolitan Region, Chile","Lawyer, runner with wanderlust",N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
2898126,10/07/2012,"Surry Hills, Australia","Sydney
Easy to get along with.  Social but respectful.
 Executive level employment.
About to undertake postgrad studies - applying for Harvard and Stanford ",N/A,,,FALSE,Surry Hills,1,"['email', 'phone']",TRUE,TRUE
8370174,24/08/2013,"London, United Kingdom","We are an Australian & English couple who love travelling and being hosts. Both full time working professionals that prioritise Family, Friends and a large variety of Hobbys. Terry is a keen surfer and lover of all sport. Lucy is lover of arts, yoga.",N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
11043376,05/01/2014,"Clovelly, Australia","My partner and I live have just purchased an amazing 3 bedroom beachside townhome that has an oversized outdoor terrace with ocean views and a side grass space making this townhome feel more like a home. Additionally with windows on 3 sides of the home creating a single dwelling feeling. Our house instantly feels like a beachside home with locally inspired artwork and decor. Probably the selling feature of this amazing townhome is the location to 3 of the best eastern suburbs beaches ever. a short walk to Clovelly Beach for relaxing, Gordons's bay for snorkelling or kayaking and Coogee to catch some waves.",N/A,,,FALSE,,2,"['email', 'phone', 'work_email']",TRUE,TRUE
91034448,21/08/2016,"Carlingford, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
155822422,22/10/2017,"Bella Vista, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,FALSE
158772216,14/11/2017,"Eastwood, Australia",,N/A,,,FALSE,,1,['phone'],TRUE,TRUE
181507575,30/03/2018,"Vaucluse, Australia","We are a family of 4 from Sydney, multicultural background family who love to travel and learn from different cultures.",N/A,,,FALSE,Vaucluse/Watsons Bay,1,"['email', 'phone']",TRUE,FALSE
250025344,20/03/2019,"Allawah, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
3415820,29/08/2012,"Queenscliff, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
6767419,06/06/2013,"Bondi, Australia","from Sydney, live in Bondi, my husband Matt (he manages the rental with me) is from the UK.  I spent many years in London before moving back home.  I love to travel but it's harder now I'm back in this part of the world.   Luckily Sydney is a beautiful place - come and visit!",N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
94915671,13/09/2016,"Gold Coast, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
492229687,21/12/2022,"West Pennant Hills, Australia",,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
70570759,05/05/2016,"Redfern, Australia",House of 2 Friendly Sydney Females,N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
209892035,16/08/2018,"Miranda, Australia",,N/A,,50,FALSE,,1,['phone'],TRUE,TRUE
24992329,19/12/2014,"Blacktown, Australia","I'm Dinesh from Sydney 
Actor/Director ",N/A,,80,FALSE,,2,"['email', 'phone']",TRUE,TRUE
342177123,21/03/2020,"Quakers Hill, Australia",,N/A,,92,TRUE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
2725174,24/06/2012,"Northwood, Australia","We are a professional couple who enjoy entertaining and travelling.  We have lived in Sydney for over 30 years and are happy to help out with advice on how to get the best out of your stay in this magnificent city.  We are both active with walking, yoga, golfing, boating, tennis and enjoying Sydney's cultural and restaurant life.
We love to share our light and airy spacious home.  We will greet you and show you around and enjoy chatting, but respect your privacy.   ",N/A,,,FALSE,,1,"['phone', 'work_email']",TRUE,FALSE
4454823,20/12/2012,"Prince Henry Heights, Australia",We are a couple from Sydney. ,N/A,,,FALSE,Bronte,1,"['email', 'phone']",TRUE,TRUE
6846960,10/06/2013,"Darlinghurst, Australia","sydney doctor with cute renovated apartment. love to travel, hence the free apartment! like meeting new people and eating yummy food.",N/A,,,FALSE,Bondi Beach,1,"['email', 'phone']",TRUE,TRUE
6920564,15/06/2013,"Vaucluse, Australia","Hi! I enjoy art, all form of it. I would like to visit some ancient sites in Central America,  Pompeii is on my bucket list too. Love modern architecture...my hero is Zaha Hadid .  I find yoga to be important in my life.
You will pick my accent right away! I am still more ""at home"" in my native Hungarian culture, but I am also keen learning about new ones!
Above all, I like to meet interesting people, and making new friends.
",N/A,,,FALSE,Elizabeth Bay/Rushcutters Bay,2,"['email', 'phone']",TRUE,TRUE
16105242,28/05/2014,"Burraneer, Australia","I'm a mid 40's professional who's widely traveled, loves the outdoors, sailing, fitness, snow sports and spending time with family and friends. My wife, two daughters and I live in Sydney and have hosted loads of people via Airbnb across a few different properties. We both love our food and wine and sharing great things to do in Sydney with our guests.",N/A,,,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
22698637,18/10/2014,"Macquarie Park, Australia","I work in the IT Industry and I have been living in Sydney for over 20 years and love share all of what it has to offer.  I have traveled extensively for work and holidays to the US/China/Middle East/Asia and Europe and understand the need for a safe, well located and restful place to stay. Wife and I and our two boys enjoy an active lifestyle and enjoy the great Australian outdoors as often as we can.",N/A,,,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
26133653,14/01/2015,"Wollstonecraft, Australia","I am a family oriented business professional and a Director of a Sydney based recruitment company. I am married with 3 adult children and 3 grandchildren and am an experienced Airbnb host.

I enjoy traveling, scuba diving, socialising with family and friends, and fine dining. 

I've travelled throughout the UK, Europe, the Mediterranean and many places in the USA, with Switzerland and The Bahamas being particular favourites.",N/A,,,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,FALSE
97880022,04/10/2016,"Bilgola Plateau, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
102869206,07/11/2016,"Rockdale, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
132725768,30/05/2017,"Saint Albans, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
134663830,12/06/2017,"Collaroy, Australia",,N/A,,,FALSE,,2,"['email', 'phone']",TRUE,FALSE
175040605,24/02/2018,"Sefton, Australia",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
4098267,08/11/2012,"Surry Hills, Australia","Am a film editor by profession.   My place is in the heart of the city... a nice studio apartment with access to own gym, spa and pool and a weekday concierge.",N/A,,100,FALSE,Surry Hills,1,"['email', 'phone']",TRUE,TRUE
25467021,01/01/2015,"Lane Cove, Australia",,N/A,,100,FALSE,Lane Cove,1,['phone'],TRUE,TRUE
161718731,07/12/2017,"Greenwich, Australia",I'm French-Australian and Sydney resident for over 20 years. I live on my own since my children have left the nest. I'm equally happy to have a chat or be independent.,N/A,,100,FALSE,,1,['email'],TRUE,TRUE
22214914,06/10/2014,"Malabar, Australia","39 years old, beach loving, hard working professional. 
I am away most weekends, and I work from 9-6pm in the City. 
I have a little dog, house trained and clean. 
I am a free thinking, easy going, love a laugh kind of girl. 
I am clean and tidy, and enjoy making my home as clean and presentable cosy and inviting as possible. ",N/A,,0,FALSE,Malabar,1,"['email', 'phone']",TRUE,FALSE
