listing_id,listing_name,listing_description,neighbourhood_overview,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,instant_bookable,license
1.12217E+18,The room is called “Dorothy”.,"Surround yourself with style and comfort within this well appointed house 6kms from Sydney CBD, 4kms from Sydney University and Royal Prince Alfred Hospital. <br />Elegant open plan kitchen, dining and family room leads into a leafy green courtyard. Apart from the generous bedroom and bathroom there is ample space for comfortable seating and meetings. <br />Ideally located 2 mins from cafes, restaurants, post office, cinema, shopping plaza and regular bus services to connect to most parts of Sydney.",,Private room in home,Private room,1,1,1,0,91,365,,,,,,,FALSE,
7.85821E+17,Share/ 2 bedroom & 2-bathroom Simple Apartment,Keep it simple at this peaceful and centrally located place.,Near summer hill IGA. Mill Sunday market. Many local cafes are around .2 mins walking distance to the Bus stop 413 and light rail station access to CBD as Fish mark. Sydney uni  light rain station. 5-7 walking distance to train station,Private room in condo,Private room,1,2,2,1,5,7,,,,,,,FALSE,PID-STRA-46345
1.19813E+18,Serene Double Room - Luxe Spot - Close to Stations,"Welcome to our cozy home conveniently located at Killara.<br />Our affordable and well-appointed house offers almost everything you need for a comfortable stay.<br /><br />Whether you're here for a quick layover or an extended business trip, you'll find our place both budget-friendly and accommodating. Enjoy the convenience of easy access to transportation hubs while experiencing a peaceful retreat away from the hustle and bustle. <br /><br />Book your stay now and discover why our guests love the combination of proximi","Killara is a suburb on the Upper North Shore of Sydney in the state of New South Wales, Australia 14 kilometres (8.7 mi) north-west of the Sydney Central Business District in the local government area of Ku-ring-gai Council. East Killara is a separate suburb and West Killara is a locality within Killara.<br /><br />Killara is an Aboriginal word meaning permanent or always there. The name of the suburb was chosen when the railway line opened in 1899. James George Edwards was a representative of the people who requested a station be built here. The suburb was established as a 'Gentlemen's suburb', designed so that there would be no commercial ventures in the area. For this reason, the suburb has very few shops in the original development.<br /><br />Killara later became the home of the famous architect Harry Seidler, whose home—designed by him and his wife Penelope in the 1960s—can still be seen in Kalang Avenue. It is sometimes known as Killara House and sometimes as Harry and Penelope ",Private room in home,Private room,1,1,1,1,2,365,,,,,,,TRUE,PID-STRA-53275
43899537,Gorgeous North Bondi Town House,"Gorgeous 2 bedroom renovated double-story town house nestled in the best part of North Bondi.<br />Wooden floors, white paint finishes, light, bright, homey with a really positive energy.<br />Bus stop literally right across the road, convenience store next door - 4 minute walk to beach and all of the vibe Bondi has to offer.","Literally a stone throw from Bondi Beach, not far from Watson's Bay, plenty of bars, restaurants and cafes within 4 minutes walk.",Private room in townhouse,Private room,1,1,1,,90,90,,,,,,,FALSE,
25020998,Gerry's Estate,The House with Historic and Unique Cultural Heritage. Located in the prized and quiet enclave of ‘O'Brien's Estate' in Hurstville (Sydney's New Chinatown). 6 minutes walk to the Station and Shopping/Resturants. Great for single traveller.,,Private room in home,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
1.16283E+18,Home away from home,Take it easy at this unique and tranquil getaway.,,Shared room in rental unit,Shared room,1,1,1,1,90,90,,,,,,,FALSE,
1.17859E+18,Cute Newtown Cottage,Take it easy at this unique and tranquil getaway.,,Private room in home,Private room,1,0.5,1,1,15,365,,,,,,,FALSE,PID-STRA-67360
1.0975E+18,MQ UNI Private Room Beautiful garden view,we are close to Macquarie Uni,,Private room in home,Private room,1,1,1,1,10,365,,,,,,,FALSE,PID-STRA-29071
1.23873E+18,Boutique Single Room - Centrally Located - Shared,"Welcome to our cozy home conveniently located near the Parramatta area, ideal for wide ranges of people.<br /><br />Our affordable and well-appointed house offers almost everything you need for a comfortable stay.<br /><br />Whether you're here for a quick layover or an extended business trip, you'll find our place both budget-friendly and accommodating. <br /><br />Book your stay now and discover why our guests love the combination of proximity, value, and comfort that our home provides.","Granville is a vibrant suburban area located in the Western Suburbs of Sydney. Situated approximately 23 kilometres west of Sydney's central business district, Granville falls within the local government area of the Cumberland Council. Known for its cultural diversity and rich community spirit, Granville offers a dynamic mix of residential comfort and urban convenience. The area has a strong historical background linked to its development as a major rail and industrial hub, which is evident in its architecture and local landmarks.<br /><br />Granville is celebrated for its well-connected transport links, including Granville Railway Station, which provides easy access to Sydney’s CBD and other suburbs. This accessibility, combined with a range of local amenities, makes Granville an attractive location for families, professionals, and businesses. The area is surrounded by lively neighborhoods such as Parramatta, Auburn, and Merrylands, offering a blend of cultural experiences and enterta",Private room in home,Private room,1,1.5,1,1,1,89,,,,,,,FALSE,PID-STRA-68909
1.21616E+18,Your home away from home,"Welcome to our stunning AirBnB apartment that offers the perfect combination of style, convenience, and luxury. Situated just 10-15 mins from airport, CBD and beaches, this modern fully-furnished apartment is the perfect home away from home.<br /><br />Features:<br />- Large bedroom with en-suite <br />- Dedicated workspace <br />- Rooftop garden  <br />- Door step access to cafes, restaurants, supermarket, gym…<br /><br />Perfect for business or pleasure, this apartment has it all<br /><br />*Special cohost 🐶 to make your stay more memorable",,Private room in rental unit,Private room,1,1,1,1,1,30,,,,,,,FALSE,PID-STRA-69624
1.23152E+18,Private Room with Balcony and own Bathroom,You will have your own; - furnished room (opens up to a balcony) - own bathroom with tub 🛁<br />- built in wardrobe  - study desk - TV<br /><br />Available for minimum 3 months stays with negotiable long stay rate.,,Private room in rental unit,Private room,1,1,1,1,90,91,,,,,,,FALSE,
21869338,Small room,"Private room in the heart of Dulwich Hill, near bus stop, light rail and train station. <br />Ideally for students or weekend accomodation.",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
43061335,Cozy small apartment situated in Glebe. LGBT 🏳️‍🌈,"Hello there, we are a super-friendly couple. One is chinese and the other italian. <br />We love volleyball and cooking. <br />We have PS4 and switch free to be used.",,Private room in rental unit,Private room,1,1.5,1,1,90,1125,,,,,,,FALSE,
49776396,15 mins drive from Sydney cbd,Shared one bed room apartment,,Shared room in rental unit,Shared room,1,1,1,1,90,1125,,,,,,,FALSE,
32296089,Spacious room in Leichhardt,"Welcome to this pleasant well located house!<br />Comfortable large bedroom in a large, nicely furnished house close to the City with plenty of space to relax and with full use of the house and garden.<br /><br />We are a family: my partner, our daughter and me, as well as my partner brother are living in the house. <br />Luna and Felix, two lovely cats, are part of the family too!<br /><br />The house is close to transport, shops, entertainment, and there's plenty of on-street parking.",,Private room in home,Private room,1,1,1,1,90,120,,,,,,,FALSE,
40270203,"Room with pool and gym, 12 mins yo station",,,Private room in rental unit,Private room,1,1,1,,90,1125,,,,,,,FALSE,
43456336,Stunning ocean view. Walk to beach,"Poised to capture unobstructed views over Long Reef Headland and the ocean, this designer lifestyle apartment offers a generous three-bedroom layout in the heart Dee Why's cosmopolitan hub. <br />- Light-filled open plan living area <br />- Interiors flow to an unobstructed north facing view <br />- Spacious bedrooms with built-ins,  quality flooring, double glazed windows<br />- Air conditioning, video intercom entry, level lift access,<br />- Resort-inspired amenities with a 25m indoor pool",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,TRUE,
1.06548E+18,Get Some Quality Sleep,"Take it easy at this unique and tranquil getaway. This contemporary unit is located in a secure gated complex with multiple elevators and security cameras. The apartment is approximately 7 min drive to Sydney Olympic Park.<br />Parking is available on request and accessible public transport to CBD.<br />Take a 5-minute walk to the Parramatta River and enjoy the wonderful parks, trails, wharf, and cafes. Private bathroom and cozy bedroom as well as amenities provided by the friendly host.",,Private room in rental unit,Private room,1,1,1,1,1,365,,,,,,,FALSE,Exempt
1.18124E+18,Bondi Penthouse with ocean views (private room),"The perfect home for your beach holiday. This sun soaked, spacious, top floor apartment will allow you completely relax and live your best Bondi life. <br /><br />Less than 20 mins walk to Bondi beach, the famous Icebergs swimming pool or Tamarama beach, seconds to Bondi road restaurants and shops and 15 mins walk to Bondi Junction.<br /><br />Private room and bathroom, access to living spaces and entertainment terrace, sharing with relaxed, young professional host.",,Private room in rental unit,Private room,1,,,,5,365,,,,,,,FALSE,PID-STRA-57072
1.16501E+18,Private room in St Marys,"Located on a quiet street and central to local amenities, <br />close to: <br /><br />St Marys local shopping village<br />Aldi <br />St Marys Ripples Pool & Leisure centre<br />St Marys station <br />Mt Druitt Westfield <br />Goodluck Palaza (Asian Groceries) <br />M4 <br />within one hour drive from Blue Mountains; <br />Blue Mountains National Park <br />Penrith Westfields <br />Nurragingy Reserve, Doonside<br /><br />We have our very own local post office, cafe; Vietnamese bakery; newsagency and charcoal chicken shop.",,Private room in home,Private room,1,1,1,1,1,365,,,,,,,FALSE,PID-STRA-63317
1.20833E+18,Cozy Fully Equipped Room in SYD Female Only,"Welcome to your ideal short-term stay near Green Square Train Station! Our cozy Airbnb is just steps away from East Village shopping center, where you'll find everything you need, from groceries to trendy boutiques and cafes. Located just 2km from the CBD and a short distance from the vibrant Surry Hills neighborhood, you'll have easy access to Sydney's best attractions. Perfect for exploring the city or relaxing in a convenient, well-connected location.",,Private room in rental unit,Private room,1,,,,2,365,,,,,,,FALSE,PID-STRA-58777
21874077,Comfortable beach apartment in the heart of Coogee,"Beach apartment with a sofa-bed available for guests. <br /><br />Great location (just one block from Coogee Beach)<br /><br />Guest will be sleeping in the queen size sofa-bed that is in the living room (see attached pictures).<br /><br />Guest will be able to use kitchen and utensils. Towels and toiletries will also be available.<br /><br />Airport pick-up and drop-off can be arranged, depending on the time of flights, and upon payment of additional fee.",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
1.11118E+18,Spacious One bedroom,"Get comfortable and enjoy plenty of extra room at this spacious place.<br />This charming one-bedroom offers comfort and convenience in the heart of City. Relax on the plush sofa in the living area or enjoy a restful night's sleep on the queen-sized bed in the bedroom. With its proximity to restaurants and coffee shops, as well as easy access to the train station and metro, you'll be perfectly situated to explore the city. Plus, it's only a quick train ride to the city",,Private room in rental unit,Private room,1,1,1,1,1,365,,,,,,,FALSE,PID-STRA-64544
12995227,A private room in a Nepali family home,"My place is close to Hillsong Church<br />Coles<br />Woolsworth<br />Gym<br />Public Transport. You’ll love my place because of the location, the people, the outdoors space, Kitchen, Private bathroom, Living area, private tv, family environment, Nepalese good family.",,Private room in home,Private room,1,3,1,1,90,1125,,,,,,,FALSE,
16104044,Old style apartment,"Studio type apartment situated in d heart of cbd Sydney. Close to public transport 8 minutes walk to central station. Walkn distance to shopping centers. 2 minutes walk to famous gay clubs Arq, Stonewall, The Shift..",The place is a gay friendly area including all the clubs bars and shops..,Shared room in rental unit,Shared room,1,1,1,1,90,1125,,,,,,,FALSE,
30939891,Beach house in bondi beach,"Its a very nice house, with an ocean view, one block from the famous<br />Bondi beach.",,Shared room in home,Shared room,1,1,1,1,90,1125,,,,,,,FALSE,
1.20752E+18,Best location! best price! 1-9pp,"I’m open book, This house is close to everything:- airport (10min)/ university/ bus (walk 2 min) / train to central walk 450m /city/ eastern suburb/university (10min to syd uni/ nsw uni, less for UTS/walk to restaurants 1 min drive), cafes(1 min), supermarket(2 min); 24 hr gyms and swimming pool nearby granny flat can be rented long term for families/ couples (un)furnished; inspection zero four one five five two one three eight four  / alibaby8 ; convenient best location best price",,Shared room in home,Shared room,1,2,1,5,3,365,,,,,,,FALSE,Exempt
1.21786E+18,Contemporary modern house Females only please,Location is here. Just walking distance to Roselands shopping centre about 10 min walk. Easy access to motorway and public transport. The house is fully renovated to modern style. <br />Please be advised the room is available to females only or females with their child or children. No males,,Private room in home,Private room,1,1,1,1,1,365,,,,,,,FALSE,Exempt
10391965,charming room for relaxing,"Our large bedroom in floor unit located in convenient and quite street has a true city feeling, closing to shopping centre, public transport. It is comfortable, cool room with gourmet kitchen, space outside for sitting",,Private room in rental unit,Private room,1,1,1,,90,1125,,,,,,,TRUE,
12712073,North Bondi Flat 190$ per week,My name is Vaun and I live off blair st in north bond. I am currenlty leaving soon to Bali. The room is 190$ per week with a 570$ bond. The Flat is in an awesome location right next to beach road hotel bar and the 869 bus stop. The roomates are all g,,Shared room in rental unit,Shared room,1,1,1,1,90,1125,,,,,,,FALSE,
25750451,Chatswood One Bedroom,"Very Convenient location 5mins walk to Chatswood Train Station with Fresh Air and Individual Balcony.  Quiet, Peaceful yet convenient location. Close to shopping malls including David Jones, Coles, Woolworth, Chemist Warehouse, Myers and Westfield. Hillsong Chatswood, fitness first, many famous cafe and food stores including Chatswood Weekend Market.  Close to police station and doctor as well. 30mins by train to City Centre and 20mins drive to City Centre. Like Town Hall, Wyard, Circular Quay.",,Private room in rental unit,Private room,1,1,2,1,183,365,,,,,,,FALSE,
32474758,Separate Room,"This private room has its own TV with stereo system so you can enjoy your stay. If you are a reader, you will get a small collection of books.",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,TRUE,
1.13463E+18,Contemporary Chic Bachelor's Pad,"Kick back and relax in this calm, stylish space.",,Entire rental unit,Entire home/apt,1,1,1,1,1,365,,,,,,,FALSE,PID-STRA-65754
1.21928E+18,Clean and cozy Room in Lilyfield,"Brand new designer house in Sydney inner west. Only steps to lightrail Lichhardt North station, 3 mins walk to Bay run and weekend market.<br /><br />With the lightrail, you can go to Fish Market, the Star, Chinatown and city within 20mins.<br /><br />You will have a very comfortable queen size bed. The kitchen, dinning and other living area are shared.<br /><br />I work from home so I am available for advice on shopping, dinning and transport all the time.<br /><br />You will be living with 2 nice ladies and a cute 9yr boy.",,Private room in home,Private room,1,1,1,1,1,31,,,,,,,FALSE,PID-STRA-69011
41600777,Large room with private bathroom,"Friendly house, quiet neighbourhood surrounded by green areas, 1 min walk to national reserve and 5 min walk to the nearest park, 10 min walk to Casula Mall and Casula station, 1 min walk to bus stop, 5 min to M5, 30 min drive to cbd. Ideal for students.",,Private room in home,Private room,1,1,1,1,90,90,,,,,,,TRUE,
1.13859E+18,Room in harbour & city apartment,"A special apartment on the harbour! Loads of natural light with harbour and full city views. Well equipped with a little balcony too. This special place is super close to everything, making it easy to plan your visit. This is where I live, not a made-for-Airbnb residence or hotel like experience. This means you have all the benefits and creature comforts of a well-lived home.",,Private room in rental unit,Private room,1,1,1,1,90,365,,,,,,,FALSE,
1.21134E+18,Spacious Darlington Private Room,"Welcome to our charming and conveniently located room. Close to public transport, and walking distance from shopping centers and the Sydney CBD. If you're seeking a comfortable and affordable accommodation option with easy access to all the city has to offer, this is the perfect place for you!<br /><br />This room is thoughtfully designed to ensure your comfort during your stay. The room is part of a well-maintained residence, providing a welcoming and convenient environment.",,Private room in home,Private room,1,1,1,1,1,365,,,,,,,FALSE,PID-STRA-69381
1.1381E+18,Cozy Queen Room - Nearby Stations & Shops,"Looking for an affordable, comfortable stay in Sydney, whether for work, study, or exploring? Our quaint design guesthouse in Pymble is perfect especially if you're attending a nearby event. <br /><br />Located on a peaceful street close to Pacific Highway, it's within walking distance to the nearest bus station and a few minutes from Pymble Train Station. <br /><br />Our private room accommodates students, solo adventurers, couples, and business travelers, offering shared kitchen, bathroom, and laundry facilities.","Pymble is a suburb on the Upper North Shore of Sydney in the state of New South Wales, Australia. Pymble is 15 kilometres north of the Sydney Central Business District in the local government area of Ku-ring-gai Council. <br /><br />Pymble is notable for its gardens, bush reserves and heritage-listed residences and properties of architectural significance. Pymble is a predominantly residential area with tree-lined streets, many substantial homes and gardens, numerous parks, nature reserves, and active pockets of commercial activity. Prominent landmarks include Pymble Station and Pymble Hill (Pacific Highway). The station is the centre of transport, shopping and social activities whilst Pymble Hill affords a view of the distant Chatswood skyline.",Private room in home,Private room,1,2,1,1,2,365,,,,,,,TRUE,PID-STRA-50900
1.23156E+18,Single Room - Private Spot - Central Location,"Searching for an affordable place to stay while exploring, studying, or working in Sydney? Attending an event nearby and need a cozy spot for the night? Our charming guesthouse is just what you need!<br /><br />Located in Killara, our lovely guesthouse offers convenience and comfort on a peaceful street near the Pacific Highway. We're within a short walk to Killara Train Station and the nearest bus stop—just 2-3 minutes away!","Killara is a suburb on the Upper North Shore of Sydney in the state of New South Wales, Australia 14 kilometres (8.7 mi) north-west of the Sydney Central Business District in the local government area of Ku-ring-gai Council. East Killara is a separate suburb and West Killara is a locality within Killara.<br /><br />Killara is an Aboriginal word meaning permanent or always there. The name of the suburb was chosen when the railway line opened in 1899. James George Edwards was a representative of the people who requested a station be built here. The suburb was established as a 'Gentlemen's suburb', designed so that there would be no commercial ventures in the area. For this reason, the suburb has very few shops in the original development.<br /><br />Killara later became the home of the famous architect Harry Seidler, whose home—designed by him and his wife Penelope in the 1960s—can still be seen in Kalang Avenue. It is sometimes known as Killara House and sometimes as Harry and Penelope ",Private room in home,Private room,1,1,1,1,1,365,,,,,,,TRUE,PID-STRA-53275
9962200,One room + own bathroom,"One room + own bathroom  + apartment facilities in a resort life style apartment in Zetland available on 4 June, 2020. Renting out the 2nd bedroom.","The apartment is in a great location with easy access to public transport. <br />Resort styled swimming pools, spa, and outdoor BBQ/Entertainment area.<br /><br />Short walk to Green Square Station and 4 parks, 1 stop to central Station. Multitude of bus services within 3 minutes walk. Buses to the city and Sydney’s renowned universities, UNSW, UTS, and University of Sydney, Westfields Eastgardens etc.<br /><br />5 minutes walk to East Village shopping centre, Cole's Supermarket, Woolworths, Virgin Active Gym, Snap gym, etc.<br /><br />The Area: Zetland offers the most vibrant community in Sydney and new foodie hotspot. Shopping facilities: East Village is Sydney's most progressive food and lifestyle retail community. Under this one roof, you'll find medical centre, dentists, chemist, grocers, artisan baker, gourmet delicatessen, fresh seafood, pasta, supermarket and freshly cut flowers in a distinctive, contemporary building, cafes and restaurants,and a new library.<br /><br />Sharing",Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
11972844,Room in heart of sydney!,"Three Bedroom Apartment Close to Central Station. Great view, balcony. Large room Available 1st April This spacious apartment is conveniently located next to UTS and TAFE. Just steps away and walking distance to Sydney University, Broadway Shopping C",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
45455554,Lovely bedroom available in a spacious home.,"Lovely bedroom available in a spacious home. Share bathroom with 1 person only. The house is clean and modern with ducted aircon, a large open plan living area, ginormous kitchen, internal laundry and backyard. There is a spare bedroom if you want to have a friend/relative stay occasionally. The location is lovely in a leafy, residential neighbourhood, located only minutes walk to shops and transport.",,Private room in home,Private room,1,3,3,1,90,1125,,,,,,,TRUE,
7.51598E+17,Eastwood Master room With Balcony free parking,It is located on a quiet street. Walk to the Eastwood train station and shopping center. 4 mins to the bus stop.Bus 545 direct to MQ University.  free parking on the street,,Private room in home,Private room,1,1,1,1,90,600,,,,,,,FALSE,
26506746,Private sunny room with own bathroom in Bondi,"Nestled between the beach and the junction, a light-filled cosy room<br />with double bed and private use of a bathroom.  12 mins walk each way makes everything the beach has to offer very accessible. 2 minutes walk to a bus stop (333 &389). <br /><br />It’s a well designed home with balcony and all your kitchen needs",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
